75;MAG MEURSAULT;13782;MAG MEURSAULT;270; ; ;15;VIN BLANC;22;VINS;1;TVA 20%; ; ;64;6;BOURGOGNE  -->;6;BOURGOGNE  -->; ;MAG MEURSAULT;
76;MAG TIGNANELLO;13202;MAG TIGNANELLO;450; ; ;13;VIN ROUGE;22;VINS;1;TVA 20%;1;TVA 20%;64;57;TOSCANE -->; ;; ;MAG TIGNANELLO;
77;GELATO VANIL 1p;13786;GELATO VANIL;4; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;GELATO VANIL;
78;GELATO NOCCIOLA 1p;13787;GELATO NOCCIOLA;4; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;22;DESSERT -->; ;; ;GELATO NOCCIOLA;
79;SORBET ARANCIA;13794;SORBET ARANCIA;4; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;70;GLACE 1 BOULE; ;; ;SORBET ARANCIA;
80;SORBET DI PESCHE;13793;SORBET DI PESCHE;4; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;70;GLACE 1 BOULE; ;; ;SORBET DI PESCHE;
81;FRAISE;12838;FRAISE; ; ; ; ; ; ; ;2;TVA 10%;2;TVA 10%;66;40;MESSAGES DESSERT ^^^; ;; ;FRAISE;
82;FRAISE DES BOIS;12839;FRAISE DES BOIS; ; ; ; ; ; ; ;2;TVA 10%;2;TVA 10%;66;40;MESSAGES DESSERT ^^^; ;; ;FRAISE DES BOIS;
83;FRAMBOISE;12840;FRAMBOISE; ; ; ; ; ; ; ;2;TVA 10%;2;TVA 10%;66;40;MESSAGES DESSERT ^^^; ;; ;FRAMBOISE;
84;SORBET DI PERA;13792;SORBET DI PERA;4; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;70;GLACE 1 BOULE; ;; ;SORBET DI PERA;
85;SORBET LAMPONI;13790;SORBET LAMPONI;4; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;70;GLACE 1 BOULE; ;; ;SORBET LAMPONI;
86;SORBET LIMONI;13789;SORBET LIMONI;4; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;70;GLACE 1 BOULE; ;; ;SORBET LIMONI;
87;SORBET FRAGOLA;13788;SORBET FRAGOLA;4; ; ;3;DESSERTS; ; ;2;TVA 10%;2;TVA 10%;64;70;GLACE 1 BOULE; ;; ;SORBET FRAGOLA;
88;GLACE 1 BOULE; ; APERITIFS -->;2,54; ; ; ; ; ; ; ; ; ; ;67;70;GLACE 1 BOULE;22;DESSERT -->; ;;
89;SUGGESTIONS; ; APERITIFS -->;2,54;;;;;;;;;;;67;64;SUGGESTIONS;;;;;
90;SUGGESTION 20ˆ;12848;SUGGESTION 20ˆ;20; ; ;2;PLATS;14;DIVERS CUISINE;2;TVA 10%;2;TVA 10%;64;64;SUGGESTIONS; ;; ;SUGGESTION 20ˆ;
91;SUGGESTION 25ˆ;12849;SUGGESTION 25ˆ;25; ; ;2;PLATS;14;DIVERS CUISINE;2;TVA 10%;2;TVA 10%;64;64;SUGGESTIONS; ;; ;SUGGESTION 25ˆ;
92;SUGGESTION 30ˆ;12850;SUGGESTION 30ˆ;30; ; ;2;PLATS;14;DIVERS CUISINE;2;TVA 10%;2;TVA 10%;64;64;SUGGESTIONS; ;; ;SUGGESTION 30ˆ;
93;SUGGESTION 40ˆ;12852;SUGGESTION 40ˆ;40; ; ;2;PLATS;14;DIVERS CUISINE;2;TVA 10%;2;TVA 10%;64;64;SUGGESTIONS; ;; ;SUGGESTION 40ˆ;
